principle_id,principle_name,category,description,application_condition,plot_area_min_sqm,plot_area_max_sqm,climate_zones,applicable_rooms,wall_thickness_mm,cost_saving_pct,material_saving_pct,thermal_benefit,implementation_detail,nbc_compliant,tncdbr_compliant,tn_districts_applicable,reference_source,drawing_impact
66,Barrel Vault Thermal Mass,ROOF_SYSTEM,"Cylindrical vault structure utilizing high thermal mass materials like brick and lime mortar to moderate interior temperatures through delayed heat absorption and release, reducing cooling loads in hot Tamil Nadu climates.","plot_area >= 400 AND climate_zone IN ('tropical','humid_subtropical') AND floors = 1 AND budget_level >= 'medium'",92.5,643.1,"Hot_Dry, Hot_Humid, Composite","bedroom, prayer_room, garage, utility",300,31,9.9,LOW,"Construct curved barrel vault using hand-laid brick work with lime mortar joints, spanning 4-6 meters. Install terracotta ventilation tubes at vault crown to expel hot air while maintaining thermal mass benefits.",1,1,ALL,Kerala State Housing Board 1990,Cross-sections show curved ceiling profiles replacing flat slabs; elevation drawings emphasize vault height variation; mechanical systems indicate passive ventilation points at vault apex; structural grids adapt to curved geometry.
67,Stepped Vault Passive Cooling,ROOF_SYSTEM,"Multi-level segmented vault design creating internal air pockets and differential pressure zones that encourage natural convective cooling without mechanical systems, optimized for monsoon wind patterns in Tamil Nadu.","plot_area >= 600 AND climate_zone = 'tropical' AND floors <= 2 AND soil_type IN ('laterite','clay') AND budget_level >= 'medium'",,,Hot_Dry,"wash_area, dining, courtyard",200,26.5,37.8,LOW,"Design stepped vault profile ascending toward central ridge, creating 150-200mm air gaps between vault segments. Use locally sourced stone and lime mortar for structural rings; incorporate small opening vents at each step junction.",1,1,"Virudhunagar, Nilgiris, Tirunelveli, Coimbatore, Villupuram",COSTFORD Workshop Notes 1988,Plan views show stepped geometric patterns; sections display layered vault profiles with air gap notation; elevations reveal progressive height transitions; construction details specify ring-beam reinforcement at each vault step.
68,Shallow Vault with Clerestory,ROOF_SYSTEM,Low-profile vaulted ceiling integrated with high-level openings and light shelves to distribute daylight deeper into interior spaces while maintaining thermal comfort through controlled ventilation of warm air layers.,"plot_area >= 300 AND climate_zone IN ('tropical','semi-arid') AND floors >= 1 AND budget_level >= 'low'",,,Hot_Dry,"courtyard, balcony, garage, entrance",230,15.1,3.9,NONE,Build 2.5-3.5 meter shallow vault with 30-degree slope using reinforced brick masonry. Install clerestory windows (0.5m high) on north and east facades just below vault crown; add wooden louvers for light control.,1,1,"Coimbatore, Theni, Pudukkottai, Ramanathapuram, Salem, Tiruvarur, Nilgiris, Vellore",BMTPC Guidelines 2001,Elevations prominently show clerestory window placement; sections indicate shallow vault profile with light shelf geometry; reflected ceiling plans mark daylight penetration zones; window details specify louver angles for seasonal adjustment.
69,Curved Vault Stack Effect,ROOF_SYSTEM,"Vaulted roof geometry engineered to enhance stack effect thermodynamics, with carefully positioned openings at vault base and apex to create continuous air circulation driven by temperature differentials throughout hot seasons.","plot_area >= 500 AND climate_zone = 'tropical' AND floors IN (1, 2) AND soil_type NOT IN ('sandy','coastal_sand')",44.7,376.9,"Hot_Dry, Composite, Hot_Humid","entrance, garage, verandah, prayer_room",230,24.7,38.4,HIGH,Design vault with 25-degree rise-to-span ratio using reinforced brick rings. Position low inlet vents (0.3m²) along south wall and high exhaust vents (0.4m²) at vault crown apex. Use timber or bamboo frame for structural support.,1,1,"Kanchipuram, Nilgiris, Virudhunagar, Madurai, Dindigul",BMTPC Guidelines 2001,Sections clearly delineate warm air path upward through vault; elevations mark inlet/outlet vent locations; airflow diagrams show convective circulation; architectural plans include vent sizing and orientation relative to prevailing winds.
70,Perforated Vault Evaporative Layer,ROOF_SYSTEM,"Vaulted structure with internal perforated brick weep layer above absorbent jute or coconut fiber mat to enable micro-evaporative cooling, reducing peak interior temperatures by 3-5°C in arid and semi-arid Tamil Nadu zones.","plot_area >= 400 AND climate_zone IN ('semi-arid','tropical_dry') AND floors = 1 AND soil_type IN ('laterite','clay')",,386.2,"Hot_Humid, Hot_Dry, Composite","terrace, prayer_room, living_room, staircase",230,32.7,15.3,HIGH,"Construct double-layer vault with perforated brick inner shell (20mm holes, 150mm spacing) and coconut fiber mat backing. Install drip irrigation line at vault crown; water flows through mat during peak heat, providing evaporative cooling.",1,1,"Ramanathapuram, Coimbatore, Pudukkottai, Karur, Erode, Tiruvarur","Baker 1983, Rural Housing Manual","Detailed sections show perforated brick layer, mat backing, and water distribution line; assembly details specify hole size, spacing, and fiber mat attachment; landscape plans indicate irrigation supply routing to vault crown."
71,Vault Transition Buffer Zone,ROOF_SYSTEM,"Double-vaulted roof system with insulating air buffer between vaults, functioning as thermal break while upper vault reflects solar radiation and lower vault maintains cool interior microclimate year-round.",plot_area >= 600 AND climate_zone = 'tropical' AND floors <= 2 AND budget_level >= 'high',133.5,1693.2,Warm_Humid,"wash_area, courtyard, kitchen, balcony",,12.6,28,LOW,Create upper reflective vault (lime-washed brick or pale stone) with 150mm air gap above lower structural vault. Install cross-bracing ties at 1.2m intervals. Upper vault requires sacrificial outer layer allowing weathering; inner layer remains protected.,1,1,ALL,Laurie Baker Centre 2010,Sections show dual vault profiles with marked air buffer zone; details specify cross-bracing tie locations and spacing; elevation drawings show two distinct roof line profiles; construction sequencing plans clarify assembly order.
72,Asymmetric Vault Sun Angle,ROOF_SYSTEM,"Non-uniform vault geometry optimized for Tamil Nadu's sun angle and monsoon patterns, with shorter south-facing slope for solar gain control and longer north slope for natural ventilation enhancement.","plot_area >= 500 AND climate_zone IN ('tropical','semi-arid') AND floors = 1 AND soil_type IN ('laterite','granite')",82.7,,"Hot_Dry, Composite","terrace, wash_area, dining, garage",230,5.7,34.6,HIGH,"Design vault with 15-degree south slope and 28-degree north slope, creating asymmetric profile. South slope supports light reflective lime finish; north slope incorporates 200mm ventilation chase with vents at ridge and eaves.",1,1,ALL,COSTFORD Workshop Notes 1988,Elevations clearly distinguish asymmetric slopes with different shading; sections show varied vault curvatures; orientations emphasized in title block; construction details specify different finish applications by slope direction; ventilation chase routing visible in sections.
73,Corbelled Vault Cantilever Edge,ROOF_SYSTEM,"Progressively stepped corbelled brick vault extending 800-1200mm beyond exterior walls, creating effective solar shading overhang while vault curve manages rainwater runoff and monsoon wind pressures.","plot_area >= 400 AND climate_zone = 'tropical' AND floors >= 1 AND budget_level >= 'medium' AND soil_type NOT IN ('sandy','coastal_sand')",,317.6,"Hot_Humid, Hot_Dry","utility, garage, prayer_room",,22.2,25.9,HIGH,Build vault with stepped corbelled brick courses projecting incrementally; each course offset 100-150mm creating stepped profile. Terminate with drip edge limestone block. Anchor vault to top plates with 12mm iron rods at 600mm centers; point all mortar joints.,1,1,"Kanchipuram, Tenkasi, Theni, Ramanathapuram, Chennai",Auroville Earth Institute 2005,"Plan views show cantilever projection dimension and offset pattern; elevations emphasize extended overhang depth and stepped profile; construction details display corbel step sequence, rod anchorage, and drip edge finish; building sections clarify overhang relationship to wall plane."
74,Reclaimed Timber Window Assembly,MATERIAL_EFFICIENCY,"Integration of salvaged wooden beams and frames from demolished structures as primary window components, maintaining structural integrity while reducing embodied carbon through material reuse.","(plot_area >= 1000 AND climate_zone IN ('tropical','humid_subtropical') AND floors <= 2 AND budget_level IN ('low','medium')) OR soil_type = 'laterite'",,577,"Hot_Humid, Hot_Dry, Composite","wash_area, utility, staircase, balcony",,34.3,46.6,LOW,Source kiln-dried reclaimed teak and rosewood frames from local demolition sites. Treat wood with natural insecticides. Install using lime mortar bedding and wrought-iron corner braces. Seal joints with coconut coir padding.,0,0,"Tenkasi, Villupuram, Sivaganga, Ariyalur, Krishnagiri, Tirunelveli, Tiruvarur, Karur",Laurie Baker Centre 2010,Window sections show layered recycled timber composition with visible grain patterns; elevation drawings highlight variable frame depths; material legend documents timber sources and dimensions
75,Recycled Brick and Tile Frames,MATERIAL_EFFICIENCY,"Utilizing waste terracotta tiles and broken bricks from construction sites to construct decorative yet functional window frames and ventilation surrounds, optimizing thermal mass and local material sourcing.","(plot_area >= 800 AND climate_zone = 'tropical' AND floors IN (1,2,3) AND budget_level = 'low') AND (soil_type IN ('red_soil','clay'))",,1345.3,Hot_Humid,"living_room, terrace, wash_area, bedroom, dining",,33.3,15.5,LOW,"Stack broken bricks in lime mortar to form frame perimeter, achieving 8cm depth. Infill with terracotta tile shards creating intricate geometric patterns. Apply traditional mud plaster finish. Bake bricks locally from site clay.",1,1,"Namakkal, Thoothukudi, Tenkasi, Pudukkottai, Madurai, Tiruvannamalai, Perambalur, Chennai",Auroville Earth Institute 2005,Detailed brick bond patterns shown in window details; cross-sections illustrate brick thickness and mortar joints; material palette incorporates local soil colors; pattern variations noted on floor plans
76,Laterite Stone Lintel System,MATERIAL_EFFICIENCY,"Employment of locally quarried laterite blocks as window lintels and frames, capitalizing on Tamil Nadu's abundant stone deposits, providing thermal stability and weather resistance with minimal processing.","(plot_area >= 1200 AND climate_zone IN ('tropical','humid_subtropical') AND floors >= 2 AND budget_level IN ('low','medium')) AND soil_type = 'laterite'",138.9,1295.4,"Hot_Dry, Warm_Humid, Composite","prayer_room, courtyard, garage",,30.7,20.2,MEDIUM,Quarry and roughly dress laterite blocks to 30cm x 15cm x 10cm. Position horizontally above openings using mud mortar. Create frame edges through selective stone chiseling. Apply lime wash annually for protection.,1,1,"Dharmapuri, Vellore, Coimbatore",CBRI Technical Note 1992,Stone grain textures depicted in elevation; lintel joint patterns shown in section details; material specifications note local quarry coordinates; masonry coursing clearly indicated on all window details
77,Recycled Metal Grille Integration,MATERIAL_EFFICIENCY,"Repurposing scrap steel, iron railings, and metal construction waste as functional window grilles and protective screens, enhancing security while reducing industrial waste and supporting local metal artisans.","(plot_area >= 600 AND climate_zone = 'tropical' AND floors IN (1,2,3) AND budget_level IN ('low','medium')) OR (soil_type IN ('red_soil','clay') AND floors >= 2)",191.6,345.4,"Composite, Hot_Dry, Warm_Humid","prayer_room, bedroom, utility",200,31.3,44.5,HIGH,Collect scrap iron and steel from local workshops. Design custom grille patterns reflecting Tamil geometric motifs. Forge into modular panels; weld to mild steel frame anchors. Apply rust-protective red ochre coating.,1,1,"Tiruvannamalai, Ariyalur, Coimbatore, Tiruvarur, Tenkasi, Namakkal, Nilgiris",CBRI Technical Note 1992,Ornamental grille patterns drawn at 1:20 scale; elevation shows decorative metal screening with shadow effects; detail drawings depict welding joints and rust treatment specifications; cultural pattern origins noted
78,Upcycled Glass and Pottery Inlay,MATERIAL_EFFICIENCY,"Incorporating waste glass bottles, broken pottery sherds, and ceramic fragments into window frames and sills, creating translucent and decorative elements that diffuse light while processing construction debris.","(plot_area >= 800 AND climate_zone = 'tropical' AND floors <= 3 AND budget_level IN ('low','medium')) AND (soil_type IN ('red_soil','clay','laterite'))",126.2,,"Warm_Humid, Composite, Hot_Dry","verandah, bedroom, prayer_room, pooja_room, balcony",,34.9,27.4,LOW,"Collect colorless, green, and brown glass waste and broken pottery. Embed fragments in lime-surkhi mortar within timber or brick frames, ensuring proper compaction. Polish edges after curing for light diffusion.",0,1,ALL,BMTPC Guidelines 2001,Window sections show glass and pottery fragment patterns; elevation drawings depict light transmission and color variations; material schedule lists waste sources; detail sketches illustrate embedment depths and mortar ratios
79,Compressed Earth Block Surround,MATERIAL_EFFICIENCY,"Manufacturing and employing compressed unfired earth blocks (CEBs) with site soil and minimal stabilization to construct window surrounds and reveals, enabling on-site production and reducing transportation emissions.","(plot_area >= 1000 AND climate_zone IN ('tropical','humid_subtropical') AND floors <= 2 AND budget_level = 'low') AND soil_type IN ('red_soil','clay')",47.3,1550.1,"Hot_Humid, Composite","pooja_room, kitchen, entrance, terrace, garage",300,19,36,MEDIUM,Compress site clay with 5-10% lime and 2% fiber (rice straw) into standard 30cm x 15cm x 10cm blocks. Stack with lime mortar. Install roof overhangs minimum 60cm for weather protection. Apply lime plaster annually.,1,1,"Sivaganga, Karur, Tiruchirappalli, Tiruvarur, Nilgiris, Namakkal, Perambalur",COSTFORD Workshop Notes 1988,CEB dimensions shown in all window sections; soil source and stabilization ratios documented in material notes; plaster thickness specifications indicated; weathering details prominent; site soil color shown in elevation
80,Salvaged Coconut Palm Framework,MATERIAL_EFFICIENCY,"Utilizing treated and processed coconut palm wood offcuts and agricultural waste materials as structural window frames and transoms, supporting rural economies while processing agricultural byproducts sustainably.","(plot_area >= 900 AND climate_zone = 'tropical' AND floors IN (1,2) AND budget_level = 'low') AND soil_type IN ('red_soil','clay','laterite')",,629.2,Hot_Humid,"corridor, pooja_room, balcony, bedroom, garage",230,24.9,41.6,LOW,Collect coconut palm trunks and treat with natural boiling salt-water extraction. Season for 6-8 months. Dimension into 10cm x 8cm frame members. Mortise joints securely with wooden pegs and lime-casein adhesive.,1,1,ALL,COSTFORD Workshop Notes 1988,Palm wood grain characteristics shown in window elevations; treatment process documented in technical notes; joinery details drawn at 1:10 scale; seasonal storage requirements noted; agricultural sourcing map included
81,Waste Ceramic Tile and Plaster Frame,MATERIAL_EFFICIENCY,"Aggregating defective ceramic tiles, broken plaster mouldings, and factory rejects to construct three-dimensional window reveals and sills, utilizing production waste streams from Tamil Nadu's ceramic manufacturing centers.","(plot_area >= 750 AND climate_zone = 'tropical' AND floors IN (1,2,3) AND budget_level IN ('low','medium')) AND (soil_type IN ('red_soil','clay') OR climate_zone = 'humid_subtropical')",77.7,1522.8,"Hot_Dry, Warm_Humid","living_room, bedroom",,28.9,34,NONE,Source rejected tiles and broken mouldings from ceramic factories. Layer and bond with lime mortar into window frame assemblies. Create weathered sill profiles by stacking tiles at varying angles. Finish with lime wash.,1,1,"Nilgiris, Perambalur, Tiruchirappalli, Ariyalur, Salem","Baker 1986, COSTFORD Manual",Tile coursing patterns shown in horizontal sections; sill profile variations indicated with multiple options; elevation drawings depict mixed tile colors and textures; waste sourcing information from local factories documented
82,Lateral Bottle Glass Stack Ventilation,VENTILATION,"Embedded glass bottles in exterior walls create horizontal air channels allowing cross-ventilation. Hot air rises through stacked bottles arranged in offset patterns, facilitating stack-driven natural convection throughout living spaces while maintaining structural integrity.","WHERE plot_area >= 1000 AND climate_zone IN ('tropical_humid', 'tropical_dry') AND floors <= 2 AND budget_level IN ('moderate', 'premium') AND soil_type IN ('laterite', 'alluvial')",179.1,,"Hot_Humid, Hot_Dry, Composite","dining, garage, store_room, prayer_room, terrace",,19.1,31,MEDIUM,Arrange recycled beer bottles horizontally in cavity walls at 60cm intervals. Seal bottle ends with mortar caps containing 8mm breathing holes. Install ductwork behind bottles to channel air directly into living areas and bedrooms.,1,1,ALL,"Baker 1983, Rural Housing Manual",Wall sections show horizontal bottle cavities at regular intervals with dotted airflow lines. Elevation views display alternating solid/transparent sections. New ventilation shaft symbols required in floor plans with directional arrows indicating air movement patterns.
83,Stratified Glass Bottle Temperature Gradient,VENTILATION,"Vertically stacked bottles exploit temperature differentials between shaded and sun-exposed faces. Glass absorbs daytime heat and releases it at night, creating programmable thermal mass. Bottles positioned to maximize diurnal temperature cycling for passive cooling efficiency.","WHERE plot_area >= 2000 AND climate_zone = 'tropical_humid' AND floors IN (2, 3) AND budget_level = 'premium' AND soil_type IN ('laterite', 'clay')",,,Composite,"dining, bedroom, living_room",300,32.5,13.7,LOW,Stack glass bottles vertically in double-leaf walls with 15cm spacing. Orient bottles toward west-facing facades. Connect bottle cavities to central air plenums using rigid ducts. Paint bottles internally with dark coating to enhance thermal absorption properties.,0,0,"Pudukkottai, Krishnagiri, Tiruvannamalai",Laurie Baker Centre 2010,Elevation drawings feature prominent vertical bottle arrangements with thermal gradient zones shaded differently. Sections show temperature contour lines through bottle cavities. Detail drawings include thermal mass calculations and heating/cooling cycle diagrams.
84,Radial Bottle Glass Chimney Core,VENTILATION,Central stairwell surrounded by concentric rings of glass bottles forms a thermal chimney. Rising warm air creates powerful draft during peak heat hours. Bottles arranged radially around core minimize wall thickness while maximizing ventilation performance through stack effect.,"WHERE plot_area >= 1500 AND climate_zone IN ('tropical_humid', 'tropical_dry') AND floors = 3 AND budget_level IN ('moderate', 'premium') AND soil_type NOT IN ('soft_clay', 'peat')",40.9,763.4,Hot_Humid,"staircase, store_room, garage, bedroom, wash_area",,27.7,29.5,MEDIUM,Arrange bottles concentrically around stairwell in spiraling pattern at 45-degree angles. Install perforated metal framework supporting bottles while allowing air passage. Connect radial ducts to upper-floor outlets. Seal bottle joints with lime mortar for breathability.,1,1,ALL,"Baker 1983, Rural Housing Manual",Floor plans show concentric bottle rings with radial duct lines emanating from core. 3D axonometric views highlight spiral bottle arrangement. Section views display chimney stack effect with velocity vectors and pressure differential annotations.
85,Tessellated Bottle Glass Exterior Veneer,VENTILATION,Decorative tessellated pattern of colored glass bottles forms breathable external skin. Bottles create diffused daylighting while providing cross-ventilation channels. Pattern geometry optimizes airflow pathways while offering aesthetic cultural integration with local architectural traditions.,"WHERE plot_area >= 800 AND climate_zone = 'tropical_humid' AND floors <= 2 AND budget_level IN ('budget', 'moderate') AND soil_type IN ('alluvial', 'laterite')",,,Composite,"terrace, store_room, courtyard, utility, balcony",200,4.4,30.2,NONE,Arrange bottles in hexagonal tessellation pattern on south and west facades. Embed bottles in compressed earth mortar maintaining 5cm gaps. Install backing membrane with 12mm diameter ventilation ports. Preserve bottle-neck openings for direct air intake.,1,1,ALL,Kerala State Housing Board 1990,Elevation views show intricate tessellated bottle pattern with color coding. Detail drawings include hexagonal arrangement geometry with 60-degree angle specifications. Perspective renderings emphasize decorative aesthetic combined with ventilation function.
86,Bifurcated Bottle Glass Partition System,VENTILATION,Internal partition walls incorporate glass bottles in dual-chambered configuration. Bottles separate zones with different thermal requirements while enabling inter-space ventilation. Dual-chamber design allows selective airflow control between living and sleeping areas.,"WHERE plot_area >= 1200 AND climate_zone IN ('tropical_humid', 'tropical_dry') AND floors IN (2, 3) AND budget_level IN ('moderate', 'premium') AND soil_type IN ('laterite', 'alluvial', 'clay')",,1680.7,"Hot_Dry, Hot_Humid","staircase, pooja_room, kitchen, corridor, prayer_room",,18.6,38.2,LOW,Install double-chambered partitions with glass bottles arranged longitudinally. Create adjustable dampers at bottle necks enabling manual airflow regulation. Line internal chamber surfaces with cork board for acoustic absorption. Connect chamber outlets to individual room exhaust ducts.,1,1,ALL,COSTFORD Field Guide 1994,Floor plans show partition centerlines with dual-chamber cross-section callouts. Wall elevation details illustrate bottle arrangement with damper locations marked. Isometric details show bottle orientation and inter-chamber connectivity with valve positions.
87,Pitched Roof Bottle Glass Integration,VENTILATION,Glass bottles embedded in roof framework create attic ventilation channels reducing upper-floor heat accumulation. Angled bottle placement exploits slope geometry for optimized stack-driven airflow. Bottles act as both structural bracing and thermal moderators in roof cavity spaces.,"WHERE plot_area >= 1000 AND climate_zone = 'tropical_humid' AND floors <= 2 AND budget_level IN ('moderate', 'premium') AND soil_type IN ('laterite', 'alluvial')",157.7,714.5,"Hot_Humid, Hot_Dry, Composite","garage, pooja_room, entrance",,8.1,10,NONE,Embed glass bottles diagonally in roof truss framework at 1.5m intervals following roof pitch. Seal bottle ends with expandable foam plugs containing breathing membranes. Connect roof cavity to upper floors via soffit vents. Use bottles as diagonal bracing members.,1,1,"Vellore, Kanchipuram, Krishnagiri",CBRI Technical Note 1992,Roof plans show bottle placement pattern aligned with truss geometry. Sectional details display diagonal bottle arrangement through roof cavity with airflow paths highlighted. Truss elevation drawings indicate bottle positions as integral structural elements.
88,Underground Bottle Glass Earth Cooling,VENTILATION,Subterranean network of glass bottles embedded in soil beneath foundation acts as earth-coupled heat exchanger. Cool earth temperature moderates incoming air before distribution to living spaces. Bottle spacing and depth optimize thermal conductivity while maintaining soil structure integrity.,"WHERE plot_area >= 1500 AND climate_zone IN ('tropical_humid', 'tropical_dry') AND floors IN (2, 3) AND budget_level = 'premium' AND soil_type IN ('laterite', 'alluvial', 'clay')",,260.4,"Hot_Humid, Hot_Dry, Composite","terrace, bedroom, dining",,20.2,38.9,HIGH,Bury glass bottles 1.5-2m underground in grid pattern with 2m spacing. Connect bottles via rigid plastic tubing to surface air intake manifold. Install perforated collection chamber below foundation. Maintain soil moisture through drainage management system.,0,1,ALL,"Baker 1986, COSTFORD Manual",Foundation plans include subsurface bottle grid with depth annotations. Site cross-sections show underground bottle network with tubing connections. Detail drawings specify burial depths and soil strata interactions with thermal annotations.
89,Modular Bottle Glass Passive Cooling Stack,VENTILATION,Prefabricated bottle glass modules stacked vertically create standalone passive cooling units. Modules function independently or connect in parallel arrays. Stackable design enables flexible deployment in existing buildings or phased construction of new residential complexes.,"WHERE plot_area >= 600 AND climate_zone IN ('tropical_humid', 'tropical_dry') AND floors <= 3 AND budget_level IN ('budget', 'moderate', 'premium') AND soil_type IN ('laterite', 'alluvial', 'clay', 'sand')",,845.7,"Hot_Dry, Composite","entrance, verandah, utility, corridor, pooja_room",,29.6,14.3,NONE,Manufacture modules with 12-15 bottles arranged in 0.5mx0.5mx0.6m concrete-framed units. Stack modules vertically along exterior walls using interlocking connectors. Link modules with quick-disconnect tubing couplers. Base installation on level concrete pad.,1,1,"Pudukkottai, Cuddalore, Madurai, Nagapattinam",BMTPC Guidelines 2001,Elevation drawings show stacked modular units as repeating rectangular forms with ventilation port callouts. Assembly details include module dimensions and stacking sequence. Site plans indicate deployment locations and inter-module connection points with flow diagrams.
90,Vernacular North-South Orientation Elongation,SPATIAL_PLANNING,Extends residential footprint along north-south axis to maximize morning and evening natural light penetration while minimizing harsh western exposure in tropical Tamil Nadu climate. Optimizes cross-ventilation through elongated floor plans.,"plot_area > 500 AND climate_zone = 'tropical' AND floors <= 3 AND budget_level >= 'medium' AND soil_type IN ('black_soil', 'red_soil')",60.4,1280.9,"Composite, Hot_Humid","balcony, living_room, kitchen, store_room",,13.8,9.8,NONE,"Design 3:1 length-to-width ratio with continuous verandahs on east and west faces. Construct load-bearing walls perpendicular to length, spacing 4-5m apart. Incorporate ventilation shafts between living zones.",1,1,ALL,"Baker 1970, Building Techniques",Plan views show elongated rectangular layout with parallel wall patterns; section elevation reveals extended thermal mass distribution; section views highlight stepped ventilation design through the length.
91,Monsoon Adaptive Linear Plot Extension,SPATIAL_PLANNING,Strategically elongates building form parallel to prevailing monsoon wind direction (northeast-southwest) in Tamil Nadu. Reduces wind pressure impact and enables effective water drainage along building length through natural slope.,"plot_area BETWEEN 400 AND 1000 AND climate_zone = 'tropical_monsoon' AND floors IN (1, 2) AND budget_level IN ('low', 'medium') AND soil_type = 'clay'",76.3,1840.1,Warm_Humid,"wash_area, bathroom, terrace, entrance, garage",,29.6,19.9,MEDIUM,Orient elongation 45 degrees to southwest monsoon winds. Create 150mm sloped plinth along building length. Install perforated drain pipes on both long sides. Use cavity brick walls (300mm) for wind pressure dissipation.,1,1,ALL,"Baker 1986, COSTFORD Manual",Floor plans display diagonal orientation within plot boundaries; site plans emphasize wind direction arrows; details show sloped plinth profiles and drainage channel locations along building edges.
92,Courtyard Integration Linear Typology,SPATIAL_PLANNING,"Extends residential building in narrow linear form around perimeter, creating central open courtyard for thermal regulation, natural ventilation, and social gathering. Maintains traditional Tamil Nadu housing patterns with modernized construction.","plot_area > 600 AND climate_zone IN ('tropical', 'semi_arid') AND floors <= 2 AND budget_level >= 'medium' AND soil_type NOT IN ('sandy', 'loose')",56.6,,"Warm_Humid, Hot_Humid","entrance, balcony, corridor, dining",,3.3,34.3,LOW,Design U-shaped or rectangular elongation with 8-12m central void. Line courtyard with continuous arcaded spaces. Use courtyard walls as thermal buffers. Install rainwater harvesting channels along courtyard edges.,1,1,"Tenkasi, Tiruchirappalli, Ramanathapuram, Ariyalur, Sivaganga",BMTPC Guidelines 2001,Plans reveal courtyard as central focal point with building wrapped around perimeter; elevations showcase arcaded facades; sections emphasize thermal chimney effect through courtyard height modulation.
93,Narrow Strip Agricultural Integration Design,SPATIAL_PLANNING,"Elongates residential plot footprint alongside remaining agricultural or garden space, enabling vernacular farming integration. Maintains cultural continuity while optimizing residential density for Tamil Nadu rural-urban transition zones.","plot_area > 800 AND climate_zone = 'semi_arid' AND floors <= 2 AND budget_level = 'low' AND soil_type IN ('red_soil', 'black_soil')",,726.6,"Hot_Dry, Composite, Hot_Humid","dining, garage, prayer_room",230,31.5,12.7,NONE,"Allocate 60% plot length to elongated residence, 40% to vegetable garden. Create separated zones with permeable boundary wall (lattice jali). Integrate rainwater collection from building roof to garden beds.",1,1,ALL,"Baker 1970, Building Techniques",Site plans show proportional split between building and garden; sectional view displays different ground levels and planting patterns; landscape integration dominates drawing composition.
94,Cross-Ventilation Maximized Elongated Form,SPATIAL_PLANNING,"Extends building length perpendicular to prevailing wind patterns, ensuring through-ventilation across width in high-temperature Tamil Nadu climate. Minimizes air conditioning dependency through optimized wind capture and cross-flow.","plot_area BETWEEN 300 AND 800 AND climate_zone = 'tropical' AND floors IN (1, 2, 3) AND budget_level IN ('low', 'medium') AND soil_type IN ('red_soil', 'alluvial')",,1376.9,"Hot_Dry, Hot_Humid","utility, terrace, wash_area",230,19.6,34,NONE,"Design building width 12-15m for cross-ventilation, length 4:1 ratio. Position openings (windows/doors) opposite each other, minimum 1.2m diameter. Install adjustable louvers (jali screens) on both facades.",1,1,ALL,"Baker 1970, Building Techniques",Floor plans feature symmetrical window placement on opposing facades; elevation drawings highlight louvered facade treatment; section views emphasize wind flow paths with directional arrows.
95,Modular Linear Unit Repetition System,SPATIAL_PLANNING,"Divides narrow elongated footprint into repeating 4m x 6m modular units for flexible, economical construction. Enables incremental building expansion and repair using standardized Tamil Nadu construction techniques.","plot_area > 400 AND climate_zone IN ('tropical', 'semi_arid') AND floors <= 2 AND budget_level IN ('low', 'medium') AND soil_type NOT IN ('liquifiable_silt')",163.9,484.9,Hot_Humid,"terrace, wash_area, utility, dining",,15.8,13.9,MEDIUM,Create 4m x 6m bays with load-bearing walls at 4m centers perpendicular to length. Use repetitive stone or brick pier construction. Install standardized timber roof trusses every bay with 600mm overhang.,1,1,ALL,BMTPC Guidelines 2001,Plans display clear grid overlay with modular dimensions clearly marked; repetitive structural pattern evident in both plan and elevation; detail sheets focus on bay component assembly.
96,Thermal Mass Linear Distribution Strategy,SPATIAL_PLANNING,"Distributes heavy thermal mass (stone, brick) along building length to absorb daytime heat and release gradually at night. Optimizes temperature regulation in arid Tamil Nadu regions without mechanical cooling.","plot_area > 500 AND climate_zone = 'semi_arid' AND floors IN (1, 2) AND budget_level >= 'medium' AND soil_type = 'black_soil'",135,601,"Hot_Dry, Warm_Humid","wash_area, utility, terrace, corridor",200,22.8,36.2,MEDIUM,Construct 400mm thick thermal mass walls (stone rubble with lime mortar) on south and west facades. Space openings 2m apart to allow wall exposure. Paint walls with high-albedo finish reflecting 60% solar radiation.,1,1,"Sivaganga, Ariyalur, Krishnagiri",Benny Kuriakose 2003,Wall thickness dramatically increases in plan and section drawings; thermal performance graphs included; colored shading indicates mass locations; temperature variation graphs accompany typical sections.
97,Narrow Lane Frontage Elongated Typology,SPATIAL_PLANNING,Optimizes narrow street-facing plot (5-8m wide) through elongated perpendicular depth. Responds to typical Tamil Nadu urban subdivision patterns while maintaining street presence and internal privacy.,"plot_area BETWEEN 200 AND 500 AND climate_zone IN ('tropical', 'semi_arid') AND floors IN (2, 3) AND budget_level >= 'medium' AND soil_type IN ('red_soil', 'alluvial')",61.6,1570.4,"Hot_Humid, Warm_Humid","living_room, prayer_room, dining, courtyard",300,17.7,13.8,HIGH,Design 6m street frontage with 20-25m depth. Position main entrance at street face with living spaces above. Locate bedrooms in rear sections with private outdoor courts. Use internal courtyards for natural light.,1,1,ALL,"Baker 1986, COSTFORD Manual",Site plans emphasize street frontage constraints; plan layouts show linear progression from public to private zones; section drawings highlight vertical zonation strategy through narrow depth.
