record_id,district,climate_zone,avg_temp_summer_c,avg_temp_winter_c,avg_temp_annual_c,max_temp_c,min_temp_c,annual_rainfall_mm,monsoon_months,relative_humidity_summer_pct,relative_humidity_winter_pct,prevailing_wind_direction,prevailing_wind_speed_kmh,solar_radiation_kwh_m2_day,latitude_degrees,longitude_degrees,ecbc_climate_zone,optimal_plot_facing,window_north_score,window_south_score,window_east_score,window_west_score,recommended_overhang_depth_m,wall_thickness_recommendation_mm,roof_type_recommendation,cross_ventilation_priority,courtyard_benefit,passive_strategy_1,passive_strategy_2,passive_strategy_3,window_to_wall_ratio_recommended,floor_plan_orientation_rule,imd_reference
93,Kanyakumari,Warm_Humid,30.6,25.5,28.2,36.9,20,1647,"Jun,Jul,Oct,Nov",79.8,73.4,N,12.5,5.15,8.0711,77.534,Warm-Humid,NW,0.9,0.69,0.61,0.31,0.8,230,Sloped roof with bamboo-mat ceiling and ventilated attic,HIGH,LOW,Full-length louvered doors for maximum ventilation when open,Double-layered Mangalore tile roof with ventilated gap,Light-toned permeable paving around building to reduce ground reflection,0.25,Long E-W axis; bedrooms on N-NW to catch hill breeze; kitchen on E with chimney vent; central living connects to N garden; covered walkways on S; W facade screened with climber trellis,Nagercoil
94,Kanyakumari,Warm_Humid,31,25.8,28.4,37.5,20.5,1507,"Jun,Jul,Oct,Nov",77.1,73.6,NE,13.3,5.13,8.0649,77.5389,Warm-Humid,N-NE,0.9,0.7,0.68,0.34,0.78,200,Clay tile roof on timber truss with ceiling insulation,CRITICAL,MEDIUM,High ceiling (3.5m+) with ceiling fans for enhanced air movement,Perforated brick boundary wall for unobstructed breeze flow,Sloped roof with extended gable vents for attic heat exhaust,0.27,"E-W orientation; bedrooms on N with jalousie windows floor to ceiling; open kitchen on SE with ridge vent; living/dining on NE; wrap-around veranda; W wall has minimal openings, screened by trees",Nagercoil
95,Kanyakumari,Warm_Humid,31,25.8,28.4,37.5,20.5,1616,"Jun,Jul,Oct,Nov",77,72.5,SW,12.7,4.9,8.0654,77.5221,Warm-Humid,N-NW,0.94,0.76,0.62,0.33,0.77,230,Metal sheet roof with radiant barrier and false ceiling air gap,HIGH,LOW,Veranda-wrapped plan for shaded outdoor circulation and living,Bamboo or thatch secondary roof layer for insulation,Transom windows above all internal doors for whole-house airflow,0.32,Orient E-W; N-facing bedrooms with louvered doors and transom vents; kitchen on SE with stack-effect chimney; open living/dining on N-NE; wide porch on E for morning use; W shaded by dense planting,Nagercoil
96,Nilgiris,Warm_Humid,21,14.4,17.4,28.7,5.6,1921,"Jun,Jul,Aug,Sep,Oct,Nov",81.4,68.4,W,12.2,4.36,11.4266,76.7078,Warm-Humid,N,0.86,0.81,0.63,0.37,0.79,200,Mangalore tile pitched roof with open ridge ventilation,CRITICAL,MEDIUM,Large operable windows on N and S for prevailing breeze capture,Lightweight well-insulated roof to reduce radiant heat gain,Stilted or raised floor construction for under-floor ventilation,0.31,Orient long axis E-W; bedrooms on N facing prevailing wind with full-height windows; kitchen on SE with roof ventilator; living space open-plan on NE; verandah wrapping N and E for shaded outdoor use,Ooty (Udhagamandalam)
97,Nilgiris,Warm_Humid,20.4,13.9,17.1,27.8,4.9,1939,"Jun,Jul,Aug,Sep,Oct,Nov",82.3,66.9,NE,12.1,4.43,11.4334,76.6755,Warm-Humid,NE,0.96,0.71,0.67,0.34,0.76,230,Filler slab with double-layered country tile,HIGH,LOW,Wide overhanging eaves (750mm+) for monsoon rain protection and shading,Ventilated ridge roof design for continuous hot-air exhaust,Courtyard with dense canopy trees to create cool micro-climate,0.35,E-W plan; sleeping wing on N with operable walls for monsoon breeze; kitchen on E with high exhaust openings; living on NE; deep covered verandah on S for rain protection; service rooms buffer W,Ooty (Udhagamandalam)
98,Nilgiris,Warm_Humid,20.7,14.2,17.3,28.3,5.3,1892,"Jun,Jul,Aug,Sep,Oct,Nov",82.5,69.1,E,12.3,4.69,11.4137,76.7059,Warm-Humid,NW,0.95,0.75,0.68,0.34,0.93,230,Sloped roof with bamboo-mat ceiling and ventilated attic,HIGH,LOW,Full-length louvered doors for maximum ventilation when open,Double-layered Mangalore tile roof with ventilated gap,Light-toned permeable paving around building to reduce ground reflection,0.25,Long E-W axis; bedrooms on N-NW to catch hill breeze; kitchen on E with chimney vent; central living connects to N garden; covered walkways on S; W facade screened with climber trellis,Ooty (Udhagamandalam)
99,Nilgiris,Warm_Humid,20.5,14,16.9,27.9,4.9,1923,"Jun,Jul,Aug,Sep,Oct,Nov",83.2,68,N,12.7,4.62,11.401,76.7032,Warm-Humid,N-NE,0.99,0.73,0.55,0.39,0.78,200,Clay tile roof on timber truss with ceiling insulation,CRITICAL,MEDIUM,High ceiling (3.5m+) with ceiling fans for enhanced air movement,Perforated brick boundary wall for unobstructed breeze flow,Sloped roof with extended gable vents for attic heat exhaust,0.31,"E-W orientation; bedrooms on N with jalousie windows floor to ceiling; open kitchen on SE with ridge vent; living/dining on NE; wrap-around veranda; W wall has minimal openings, screened by trees",Ooty (Udhagamandalam)
100,Nilgiris,Warm_Humid,21,14.4,17.4,28.7,5.6,1983,"Jun,Jul,Aug,Sep,Oct,Nov",82.4,68.1,NW,11.9,4.68,11.3868,76.6799,Warm-Humid,N-NW,0.92,0.8,0.59,0.36,0.72,230,Metal sheet roof with radiant barrier and false ceiling air gap,HIGH,LOW,Veranda-wrapped plan for shaded outdoor circulation and living,Bamboo or thatch secondary roof layer for insulation,Transom windows above all internal doors for whole-house airflow,0.26,Orient E-W; N-facing bedrooms with louvered doors and transom vents; kitchen on SE with stack-effect chimney; open living/dining on N-NE; wide porch on E for morning use; W shaded by dense planting,Ooty (Udhagamandalam)
101,Dharmapuri,Hot_Dry,35.4,23.4,29,42.7,14.9,776,"Sep,Oct,Nov",48.5,43.9,W,8,5.78,12.1095,78.1841,Hot-Dry,N,0.92,0.72,0.63,0.33,0.61,300,Thick RCC slab with brick-bat coba and china mosaic,MEDIUM,HIGH,Thick masonry walls (300mm+) for high thermal mass and time-lag cooling,Internal courtyard with water body for evaporative cooling,Small recessed windows with deep reveals to limit solar gain,0.21,Compact square plan around central courtyard; thick W wall with no/minimal openings; bedrooms on N with small high windows; kitchen on E to use morning sun; living opens into shaded courtyard,Dharmapuri
102,Dharmapuri,Hot_Dry,35.2,23.3,29.3,42.3,14.6,863,"Sep,Oct,Nov",49.2,43.3,N,7.8,5.66,12.1522,78.1816,Hot-Dry,NE,0.93,0.76,0.62,0.33,0.69,350,Mud-lime terrace roof with terracotta tile insulation,LOW,HIGH,Earth-sheltered or semi-basement rooms for ground-coupled cooling,Mud plaster or lime render on exterior for radiant heat reduction,Double-wall cavity construction for thermal insulation,0.21,Inward-looking plan around water-featured courtyard; bedrooms on N and E sides; W wall buffered by store rooms and staircase; kitchen on SE; underground cellar for peak-heat refuge,Dharmapuri
103,Dharmapuri,Hot_Dry,35.6,23.6,30,42.9,15.1,782,"Sep,Oct,Nov",48.9,41.2,S,6.3,5.81,12.1498,78.1397,Hot-Dry,NW,0.88,0.74,0.59,0.3,0.58,400,Filler slab with mud plaster topping,MEDIUM,HIGH,Evaporative cooling tower (wind-catcher with wet pads),Insulated flat roof with terracotta tile layer for thermal buffer,Underground water tank beneath courtyard for radiant cooling,0.18,Dense cluster plan with shared party walls to reduce exposed surfaces; rooms arranged around internal court; sleeping on N upper floor with terrace; kitchen on ground E side; W wall solid with niches,Dharmapuri
104,Dharmapuri,Hot_Dry,35.3,23.4,29.3,42.5,14.8,877,"Sep,Oct,Nov",49,40.8,N,7.6,5.7,12.1146,78.1448,Hot-Dry,N-NE,0.95,0.66,0.58,0.32,0.56,300,Double-layer flat roof with ventilated cavity,LOW,HIGH,Cluster housing layout with shared shade corridors,High-albedo exterior finishes to reflect 70%+ solar radiation,Jali screens on W facade to filter harsh afternoon sun,0.18,"Compact plan, courtyard centered; living on N opening to court; bedrooms on NE upper level for night cooling; kitchen E ground floor; W and S walls thick with minimal fenestration; basement for summer retreat",Dharmapuri
105,Dharmapuri,Hot_Dry,35.2,23.3,29.7,42.3,14.7,875,"Sep,Oct,Nov",48.4,43.2,NW,8.7,5.99,12.1077,78.178,Hot-Dry,N-NW,0.96,0.69,0.62,0.27,0.74,350,RCC slab with inverted earthen pot insulation layer,MEDIUM,HIGH,Thick rammed-earth walls with embedded cooling pipes,Roof pond with movable insulation for night sky radiative cooling,Dense tree canopy over outdoor living spaces for micro-climate,0.22,Square courtyard plan; N-facing rooms for habitation; W and S walls double-layered with cavity; kitchen on E side; central court with fountain for evaporative cooling; rooms interconnected through court,Dharmapuri
106,Krishnagiri,Composite,33.6,22.7,28.5,40.8,14,737,"Sep,Oct,Nov",51.9,46.7,W,9.2,5.45,12.539,78.2179,Composite,N,0.81,0.86,0.57,0.39,0.64,230,Insulated RCC slab with Mangalore tile over-roof,HIGH,MEDIUM,Adjustable shading devices for seasonal sun angle variation,Moderate thermal mass walls (230mm) with exterior insulation,Operable windows sized for monsoon ventilation and winter warmth,0.28,Orient long axis E-W; bedrooms on N for cool summers with operable S windows for winter sun; kitchen on SE; living room centrally placed with openable walls N and S for seasonal cross-ventilation,Krishnagiri
107,Krishnagiri,Composite,34.2,23.1,28.2,41.8,14.7,875,"Sep,Oct,Nov",50.7,45.9,SE,9,5.5,12.5266,78.2151,Composite,NE,0.87,0.82,0.6,0.31,0.63,250,Filler slab with clay tile secondary roof,MEDIUM,MEDIUM,"Transitional buffer spaces (sit-out, verandah) on S and W",Combination roof: insulated RCC slab with clay tile over-roof,Deciduous vine pergola on W facade for seasonal shading,0.24,"E-W oriented plan with adjustable facades; bedrooms NE for summer breeze, with S-facing clerestory for winter warmth; kitchen SE; central courtyard usable in transitional months; W wall shaded by pergola",Krishnagiri
108,Krishnagiri,Composite,34.3,23.3,29.2,42,14.9,710,"Sep,Oct,Nov",52.8,43.9,S,6.4,5.62,12.5125,78.222,Composite,NW,0.78,0.73,0.64,0.37,0.61,300,RCC slab with reflective paint and planted terrace,HIGH,MEDIUM,Thermal chimney integrated into building core for passive stack ventilation,Cavity wall with ventilated air gap for summer and insulation for winter,Rainwater harvesting integrated into courtyard drainage design,0.21,Long axis E-W; sleeping on N side with high-level ventilators for summer and sealed shutters for winter; living on S for winter solar gain; kitchen SE with dedicated flue; utility rooms buffer W facade,Krishnagiri
109,Krishnagiri,Composite,34.4,23.3,29.1,42.1,14.9,867,"Sep,Oct,Nov",53.1,44.2,N,6.6,5.7,12.5227,78.2296,Composite,N-NE,0.78,0.75,0.61,0.39,0.69,230,Sloped RCC with ventilated ridge and tile cladding,MEDIUM,MEDIUM,Split-level floor plan to facilitate multi-zone natural ventilation,Insulated roof with reflective paint for summer and thermal mass for winter,External movable bamboo screens for seasonal daylight and glare control,0.27,"E-W elongated plan; bedroom zone on N with dual-mode windows (mesh for summer, glass for winter); living on S-SW for afternoon winter warmth; kitchen on E; transitional verandah on S for seasonal use",Krishnagiri
110,Krishnagiri,Composite,34.3,23.2,28.4,41.9,14.8,733,"Sep,Oct,Nov",51.7,44.5,NW,6.4,5.78,12.5237,78.2253,Composite,N-NW,0.85,0.76,0.65,0.39,0.72,250,Concrete slab with foam insulation and weatherproof membrane,HIGH,MEDIUM,Phase-change material integrated into ceiling plaster for thermal buffering,Double-glazed windows on W and S with operable outer layer,Stepped building form to maximize self-shading between volumes,0.26,Orient E-W; N-facing bedrooms with monsoon-grade operable windows; S-side living for winter passive heating; kitchen in SE with cross-draft ventilation; service rooms on W as heat buffer; courtyard on N-NE,Krishnagiri
111,Namakkal,Hot_Dry,35,24.5,30.2,41.9,16.9,750,"Sep,Oct,Nov",51,47.1,W,7.1,5.79,11.2443,78.1882,Hot-Dry,N,0.92,0.74,0.63,0.31,0.73,300,Thick RCC slab with brick-bat coba and china mosaic,MEDIUM,HIGH,Thick masonry walls (300mm+) for high thermal mass and time-lag cooling,Internal courtyard with water body for evaporative cooling,Small recessed windows with deep reveals to limit solar gain,0.18,Compact square plan around central courtyard; thick W wall with no/minimal openings; bedrooms on N with small high windows; kitchen on E to use morning sun; living opens into shaded courtyard,Namakkal
112,Namakkal,Hot_Dry,34.9,24.4,29.6,41.8,16.9,667,"Sep,Oct,Nov",53.5,44.3,NW,6.9,5.52,11.2058,78.1836,Hot-Dry,NE,0.93,0.75,0.57,0.29,0.73,350,Mud-lime terrace roof with terracotta tile insulation,LOW,HIGH,Earth-sheltered or semi-basement rooms for ground-coupled cooling,Mud plaster or lime render on exterior for radiant heat reduction,Double-wall cavity construction for thermal insulation,0.17,Inward-looking plan around water-featured courtyard; bedrooms on N and E sides; W wall buffered by store rooms and staircase; kitchen on SE; underground cellar for peak-heat refuge,Namakkal
113,Namakkal,Hot_Dry,34.6,24.2,29.5,41.3,16.5,668,"Sep,Oct,Nov",53.9,45.3,S,7.8,5.51,11.2028,78.1465,Hot-Dry,NW,0.99,0.72,0.6,0.3,0.59,400,Filler slab with mud plaster topping,MEDIUM,HIGH,Evaporative cooling tower (wind-catcher with wet pads),Insulated flat roof with terracotta tile layer for thermal buffer,Underground water tank beneath courtyard for radiant cooling,0.18,Dense cluster plan with shared party walls to reduce exposed surfaces; rooms arranged around internal court; sleeping on N upper floor with terrace; kitchen on ground E side; W wall solid with niches,Namakkal
114,Namakkal,Hot_Dry,34.9,24.5,29.9,41.9,16.9,718,"Sep,Oct,Nov",53.8,47.9,W,6.1,5.71,11.217,78.1898,Hot-Dry,N-NE,0.86,0.74,0.6,0.27,0.67,300,Double-layer flat roof with ventilated cavity,LOW,HIGH,Cluster housing layout with shared shade corridors,High-albedo exterior finishes to reflect 70%+ solar radiation,Jali screens on W facade to filter harsh afternoon sun,0.17,"Compact plan, courtyard centered; living on N opening to court; bedrooms on NE upper level for night cooling; kitchen E ground floor; W and S walls thick with minimal fenestration; basement for summer retreat",Namakkal
115,Namakkal,Hot_Dry,34.9,24.4,29.5,41.9,16.9,702,"Sep,Oct,Nov",50.1,47.7,NW,6.4,5.69,11.2398,78.1943,Hot-Dry,N-NW,0.94,0.73,0.59,0.35,0.72,350,RCC slab with inverted earthen pot insulation layer,MEDIUM,HIGH,Thick rammed-earth walls with embedded cooling pipes,Roof pond with movable insulation for night sky radiative cooling,Dense tree canopy over outdoor living spaces for micro-climate,0.22,Square courtyard plan; N-facing rooms for habitation; W and S walls double-layered with cavity; kitchen on E side; central court with fountain for evaporative cooling; rooms interconnected through court,Namakkal
116,Karur,Hot_Dry,35.2,24.5,29.7,42,17.1,660,"Sep,Oct,Nov",50.9,45.7,W,6.1,5.85,10.9672,78.0762,Hot-Dry,N,0.88,0.7,0.67,0.37,0.51,300,Thick RCC slab with brick-bat coba and china mosaic,MEDIUM,HIGH,Thick masonry walls (300mm+) for high thermal mass and time-lag cooling,Internal courtyard with water body for evaporative cooling,Small recessed windows with deep reveals to limit solar gain,0.23,Compact square plan around central courtyard; thick W wall with no/minimal openings; bedrooms on N with small high windows; kitchen on E to use morning sun; living opens into shaded courtyard,Karur
117,Karur,Hot_Dry,35.4,24.7,30.1,42.4,17.4,551,"Sep,Oct,Nov",49.3,44.7,SE,6.6,5.74,10.9595,78.0763,Hot-Dry,NE,0.88,0.74,0.58,0.3,0.6,350,Mud-lime terrace roof with terracotta tile insulation,LOW,HIGH,Earth-sheltered or semi-basement rooms for ground-coupled cooling,Mud plaster or lime render on exterior for radiant heat reduction,Double-wall cavity construction for thermal insulation,0.2,Inward-looking plan around water-featured courtyard; bedrooms on N and E sides; W wall buffered by store rooms and staircase; kitchen on SE; underground cellar for peak-heat refuge,Karur
118,Karur,Hot_Dry,35.6,24.8,29.8,42.6,17.6,552,"Sep,Oct,Nov",50.3,45.3,NE,6.8,5.87,10.9644,78.0706,Hot-Dry,NW,0.91,0.74,0.63,0.31,0.73,400,Filler slab with mud plaster topping,MEDIUM,HIGH,Evaporative cooling tower (wind-catcher with wet pads),Insulated flat roof with terracotta tile layer for thermal buffer,Underground water tank beneath courtyard for radiant cooling,0.22,Dense cluster plan with shared party walls to reduce exposed surfaces; rooms arranged around internal court; sleeping on N upper floor with terrace; kitchen on ground E side; W wall solid with niches,Karur
119,Karur,Hot_Dry,35.5,24.8,30.2,42.5,17.5,669,"Sep,Oct,Nov",49.9,46.5,SE,6.5,5.92,10.9465,78.0564,Hot-Dry,N-NE,0.94,0.75,0.59,0.28,0.68,300,Double-layer flat roof with ventilated cavity,LOW,HIGH,Cluster housing layout with shared shade corridors,High-albedo exterior finishes to reflect 70%+ solar radiation,Jali screens on W facade to filter harsh afternoon sun,0.19,"Compact plan, courtyard centered; living on N opening to court; bedrooms on NE upper level for night cooling; kitchen E ground floor; W and S walls thick with minimal fenestration; basement for summer retreat",Karur
120,Karur,Hot_Dry,35.4,24.8,29.8,42.4,17.4,660,"Sep,Oct,Nov",50.5,44.1,E,7.2,5.88,10.9846,78.0709,Hot-Dry,N-NW,0.92,0.76,0.56,0.36,0.63,350,RCC slab with inverted earthen pot insulation layer,MEDIUM,HIGH,Thick rammed-earth walls with embedded cooling pipes,Roof pond with movable insulation for night sky radiative cooling,Dense tree canopy over outdoor living spaces for micro-climate,0.15,Square courtyard plan; N-facing rooms for habitation; W and S walls double-layered with cavity; kitchen on E side; central court with fountain for evaporative cooling; rooms interconnected through court,Karur
121,Perambalur,Hot_Dry,35.6,24.8,30.5,43.4,17.6,818,"Sep,Oct,Nov",54,48.5,NE,8,5.62,11.2454,78.8712,Hot-Dry,N,0.93,0.66,0.62,0.33,0.65,300,Thick RCC slab with brick-bat coba and china mosaic,MEDIUM,HIGH,Thick masonry walls (300mm+) for high thermal mass and time-lag cooling,Internal courtyard with water body for evaporative cooling,Small recessed windows with deep reveals to limit solar gain,0.22,Compact square plan around central courtyard; thick W wall with no/minimal openings; bedrooms on N with small high windows; kitchen on E to use morning sun; living opens into shaded courtyard,Perambalur
122,Perambalur,Hot_Dry,35.6,24.9,30,43.5,17.7,761,"Sep,Oct,Nov",52.9,48.2,SE,6.8,5.76,11.2377,78.8958,Hot-Dry,NE,0.88,0.67,0.63,0.33,0.71,350,Mud-lime terrace roof with terracotta tile insulation,LOW,HIGH,Earth-sheltered or semi-basement rooms for ground-coupled cooling,Mud plaster or lime render on exterior for radiant heat reduction,Double-wall cavity construction for thermal insulation,0.22,Inward-looking plan around water-featured courtyard; bedrooms on N and E sides; W wall buffered by store rooms and staircase; kitchen on SE; underground cellar for peak-heat refuge,Perambalur
123,Perambalur,Hot_Dry,35.2,24.5,30.2,42.8,17.2,796,"Sep,Oct,Nov",53.6,46.2,E,8.4,5.76,11.2329,78.8623,Hot-Dry,NW,0.97,0.69,0.6,0.32,0.65,400,Filler slab with mud plaster topping,MEDIUM,HIGH,Evaporative cooling tower (wind-catcher with wet pads),Insulated flat roof with terracotta tile layer for thermal buffer,Underground water tank beneath courtyard for radiant cooling,0.22,Dense cluster plan with shared party walls to reduce exposed surfaces; rooms arranged around internal court; sleeping on N upper floor with terrace; kitchen on ground E side; W wall solid with niches,Perambalur
124,Perambalur,Hot_Dry,35.4,24.7,30.4,43.2,17.5,662,"Sep,Oct,Nov",53.8,47.8,NE,8.7,5.8,11.2339,78.894,Hot-Dry,N-NE,0.95,0.68,0.6,0.27,0.62,300,Double-layer flat roof with ventilated cavity,LOW,HIGH,Cluster housing layout with shared shade corridors,High-albedo exterior finishes to reflect 70%+ solar radiation,Jali screens on W facade to filter harsh afternoon sun,0.16,"Compact plan, courtyard centered; living on N opening to court; bedrooms on NE upper level for night cooling; kitchen E ground floor; W and S walls thick with minimal fenestration; basement for summer retreat",Perambalur
125,Perambalur,Hot_Dry,35.1,24.4,29.4,42.6,17,709,"Sep,Oct,Nov",53.5,47,S,8.4,5.63,11.2426,78.8643,Hot-Dry,N-NW,0.87,0.71,0.62,0.33,0.56,350,RCC slab with inverted earthen pot insulation layer,MEDIUM,HIGH,Thick rammed-earth walls with embedded cooling pipes,Roof pond with movable insulation for night sky radiative cooling,Dense tree canopy over outdoor living spaces for micro-climate,0.23,Square courtyard plan; N-facing rooms for habitation; W and S walls double-layered with cavity; kitchen on E side; central court with fountain for evaporative cooling; rooms interconnected through court,Perambalur
126,Ariyalur,Hot_Dry,34.6,24.7,30,41.8,17.5,870,"Sep,Oct,Nov",54,48.7,NE,7.1,5.47,11.118,79.0647,Hot-Dry,N,0.95,0.73,0.61,0.35,0.51,300,Thick RCC slab with brick-bat coba and china mosaic,MEDIUM,HIGH,Thick masonry walls (300mm+) for high thermal mass and time-lag cooling,Internal courtyard with water body for evaporative cooling,Small recessed windows with deep reveals to limit solar gain,0.15,Compact square plan around central courtyard; thick W wall with no/minimal openings; bedrooms on N with small high windows; kitchen on E to use morning sun; living opens into shaded courtyard,Ariyalur
127,Ariyalur,Hot_Dry,35.5,25.4,30.9,43.3,18.6,739,"Sep,Oct,Nov",56.9,48.7,NE,7.8,5.59,11.1642,79.0596,Hot-Dry,NE,0.94,0.74,0.63,0.26,0.72,350,Mud-lime terrace roof with terracotta tile insulation,LOW,HIGH,Earth-sheltered or semi-basement rooms for ground-coupled cooling,Mud plaster or lime render on exterior for radiant heat reduction,Double-wall cavity construction for thermal insulation,0.17,Inward-looking plan around water-featured courtyard; bedrooms on N and E sides; W wall buffered by store rooms and staircase; kitchen on SE; underground cellar for peak-heat refuge,Ariyalur
128,Ariyalur,Hot_Dry,34.8,24.9,29.7,42.2,17.8,799,"Sep,Oct,Nov",53.2,49.1,NE,7.1,5.64,11.1318,79.0551,Hot-Dry,NW,0.96,0.73,0.55,0.35,0.73,400,Filler slab with mud plaster topping,MEDIUM,HIGH,Evaporative cooling tower (wind-catcher with wet pads),Insulated flat roof with terracotta tile layer for thermal buffer,Underground water tank beneath courtyard for radiant cooling,0.22,Dense cluster plan with shared party walls to reduce exposed surfaces; rooms arranged around internal court; sleeping on N upper floor with terrace; kitchen on ground E side; W wall solid with niches,Ariyalur
129,Ariyalur,Hot_Dry,35.3,25.3,30.4,43,18.4,818,"Sep,Oct,Nov",54.5,51.3,S,9.4,5.65,11.1349,79.0761,Hot-Dry,N-NE,0.92,0.7,0.61,0.3,0.65,300,Double-layer flat roof with ventilated cavity,LOW,HIGH,Cluster housing layout with shared shade corridors,High-albedo exterior finishes to reflect 70%+ solar radiation,Jali screens on W facade to filter harsh afternoon sun,0.2,"Compact plan, courtyard centered; living on N opening to court; bedrooms on NE upper level for night cooling; kitchen E ground floor; W and S walls thick with minimal fenestration; basement for summer retreat",Ariyalur
130,Ariyalur,Hot_Dry,34.6,24.7,30.1,41.9,17.6,804,"Sep,Oct,Nov",54.3,48.4,SE,8.6,5.77,11.1181,79.0923,Hot-Dry,N-NW,0.92,0.74,0.61,0.27,0.59,350,RCC slab with inverted earthen pot insulation layer,MEDIUM,HIGH,Thick rammed-earth walls with embedded cooling pipes,Roof pond with movable insulation for night sky radiative cooling,Dense tree canopy over outdoor living spaces for micro-climate,0.2,Square courtyard plan; N-facing rooms for habitation; W and S walls double-layered with cavity; kitchen on E side; central court with fountain for evaporative cooling; rooms interconnected through court,Ariyalur
131,Pudukkottai,Composite,34.9,25.5,30.5,42.6,18.9,1039,"Sep,Oct,Nov",62.9,59.5,NE,8.2,5.33,10.3649,78.8044,Composite,N,0.81,0.87,0.67,0.33,0.65,230,Insulated RCC slab with Mangalore tile over-roof,HIGH,MEDIUM,Adjustable shading devices for seasonal sun angle variation,Moderate thermal mass walls (230mm) with exterior insulation,Operable windows sized for monsoon ventilation and winter warmth,0.3,Orient long axis E-W; bedrooms on N for cool summers with operable S windows for winter sun; kitchen on SE; living room centrally placed with openable walls N and S for seasonal cross-ventilation,Pudukkottai
132,Pudukkottai,Composite,34.9,25.5,30.1,42.6,19,932,"Sep,Oct,Nov",61.3,59.2,W,9.5,5.34,10.3905,78.8116,Composite,NE,0.84,0.79,0.64,0.33,0.81,250,Filler slab with clay tile secondary roof,MEDIUM,MEDIUM,"Transitional buffer spaces (sit-out, verandah) on S and W",Combination roof: insulated RCC slab with clay tile over-roof,Deciduous vine pergola on W facade for seasonal shading,0.21,"E-W oriented plan with adjustable facades; bedrooms NE for summer breeze, with S-facing clerestory for winter warmth; kitchen SE; central courtyard usable in transitional months; W wall shaded by pergola",Pudukkottai
133,Pudukkottai,Composite,34.9,25.5,29.8,42.6,18.9,943,"Sep,Oct,Nov",62,57,NE,9,5.44,10.3567,78.806,Composite,NW,0.88,0.86,0.62,0.32,0.84,300,RCC slab with reflective paint and planted terrace,HIGH,MEDIUM,Thermal chimney integrated into building core for passive stack ventilation,Cavity wall with ventilated air gap for summer and insulation for winter,Rainwater harvesting integrated into courtyard drainage design,0.2,Long axis E-W; sleeping on N side with high-level ventilators for summer and sealed shutters for winter; living on S for winter solar gain; kitchen SE with dedicated flue; utility rooms buffer W facade,Pudukkottai
134,Pudukkottai,Composite,34.6,25.3,30.2,42.2,18.7,1044,"Sep,Oct,Nov",62.5,56.2,NW,10.5,5.39,10.3727,78.8375,Composite,N-NE,0.94,0.73,0.62,0.39,0.61,230,Sloped RCC with ventilated ridge and tile cladding,MEDIUM,MEDIUM,Split-level floor plan to facilitate multi-zone natural ventilation,Insulated roof with reflective paint for summer and thermal mass for winter,External movable bamboo screens for seasonal daylight and glare control,0.22,"E-W elongated plan; bedroom zone on N with dual-mode windows (mesh for summer, glass for winter); living on S-SW for afternoon winter warmth; kitchen on E; transitional verandah on S for seasonal use",Pudukkottai
135,Pudukkottai,Composite,34,24.8,29.3,41.3,17.9,856,"Sep,Oct,Nov",61.8,57.4,S,8.5,5.66,10.3848,78.8336,Composite,N-NW,0.88,0.74,0.62,0.32,0.83,250,Concrete slab with foam insulation and weatherproof membrane,HIGH,MEDIUM,Phase-change material integrated into ceiling plaster for thermal buffering,Double-glazed windows on W and S with operable outer layer,Stepped building form to maximize self-shading between volumes,0.22,Orient E-W; N-facing bedrooms with monsoon-grade operable windows; S-side living for winter passive heating; kitchen in SE with cross-draft ventilation; service rooms on W as heat buffer; courtyard on N-NE,Pudukkottai
136,Chengalpattu,Hot_Humid,33.6,25,29.4,41.6,18.2,1233,"Oct,Nov,Dec",75.4,68.1,SW,13.4,5.21,12.6847,79.9862,Warm-Humid,N,0.93,0.72,0.61,0.31,0.92,200,Mangalore tile over ventilated RCC slab,CRITICAL,MEDIUM,Maximize cross-ventilation with large openings on windward walls,Elevated plinth with ventilated crawl space to reduce ground moisture,Reflective cool roof coating with radiant barrier,0.33,Orient long axis E-W; place bedrooms on N side for cool breeze; locate kitchen in SE corner with exhaust vent; living room facing NE for morning light and ventilation,Chengalpattu
137,Chengalpattu,Hot_Humid,34,25.4,29.8,42.3,18.8,1164,"Oct,Nov,Dec",73.5,68.5,SE,13.6,5.16,12.6953,79.988,Warm-Humid,NE,0.95,0.73,0.53,0.34,0.85,230,Sloped metal roof with radiant barrier and air gap,CRITICAL,LOW,Double-height living spaces for stack-effect ventilation,Deep verandah on S and W facades for rain and sun protection,Permeable compound wall to allow breeze penetration,0.27,"Orient long axis E-W; bedrooms on N with operable windows; wet areas (kitchen, bath) on S side with stack ventilation; open-plan living area connecting N and S for cross-ventilation",Chengalpattu
138,Chengalpattu,Hot_Humid,34,25.3,29.7,42.3,18.7,1187,"Oct,Nov,Dec",73.9,69.1,E,13.8,5.11,12.7147,79.9609,Warm-Humid,NW,0.93,0.71,0.57,0.34,0.84,250,Filler slab with clay tile overlay,HIGH,MEDIUM,Louvered ventilation panels above windows for continuous airflow,Lightweight insulated roof with ventilated air gap,Landscape buffer with deciduous trees on W side for shade,0.3,E-W elongated plan; master bedroom NE corner for sea breeze; service rooms buffering W wall; staircase on S as thermal buffer; balcony on N for outdoor sleeping,Chengalpattu
